Canonical Form,Total Record Count,Match 1 Label,Match 1 URI,Match 1 Score,Match 2 Label,Match 2 URI,Match 2 Score,Match 3 Label,Match 3 URI,Match 3 Score,Possible Group Match (needs review)
New York Public Library,3,Treasures (New York Public Library),http://id.loc.gov/authorities/names/no2022094312,79%,"Huffman, James (Of the New York Public Library)",http://id.loc.gov/authorities/names/n2025009528,66%,New York Public Library. Office of Children's Services,http://id.loc.gov/authorities/names/n89664224,60%,
"Holmes, J. B. (John Bute)",3,"Holmes, J. B. (John Bute)",http://id.loc.gov/authorities/names/no2010150716,100%,,,,,,,
New York (N.Y.). Department of Environmental Protection,3,New York (N.Y.). Department of Environmental Protection,http://id.loc.gov/authorities/names/n79098799,100%,New York (N.Y.). Department of Environmental Protection Bureau of Water and Sewer Operations,http://id.loc.gov/authorities/names/n2021000123,75%,New York (N.Y.). Bureau of Clean Water,http://id.loc.gov/authorities/names/nr93042127,60%,New York (N.Y.). Department of Transportation (67%); New York (N.Y.). Department of Sanitation (67%); New York (N.Y.). Department of Education (67%); New York (N.Y.). Department of City Planning (60%)
Bureau of Transportation Statistics,3,"Fletcher, Wendell (United States. Bureau of Transportation Statistics)",http://id.loc.gov/authorities/names/no2024140138,67%,United States. Bureau of Transportation Statistics. Office of Survey Programs,http://id.loc.gov/authorities/names/no2002013148,62%,United States. Bureau of Transportation Statistics. Office of Advanced Studies,http://id.loc.gov/authorities/names/no2012082249,62%,United States. Bureau of Transportation Statistics (67%)
"U.S. Department of Commerce, Census Bureau, Esri",3,,,,,,,,,,"U.S. Department of Commerce, Census Bureau (88%); U.S. Department of Commerce, U.S. Census Bureau, Geography Division (70%); U.S. Department of Commerce, Census Bureau, Geography Division (70%); U.S. Department of Commerce
Bureau of the Census
Geography Division (64%)"
"Surveys and Mapping, Ministry Lands and Housing",3,Uganda. Department of Surveys and Mapping,http://id.loc.gov/authorities/names/n97029611,43%,Botswana. Department of Surveys and Mapping,http://id.loc.gov/authorities/names/n97901373,42%,,,,
"""Agustin Codazzi"" Geographical Institute of Colombia",3,,,,,,,,,,
Survey of Kenya,3,Survey of Kenya. SK (Series),http://id.loc.gov/authorities/names/no2006023028,70%,Survey of Kenya. Mapping Branch,http://id.loc.gov/authorities/names/n87943275,65%,Memoir (Geological Survey of Kenya),http://id.loc.gov/authorities/names/no2002014009,60%,
FHWA,3,FHWA-PL,http://id.loc.gov/authorities/names/n86715833,73%,FHWA-EP,http://id.loc.gov/authorities/names/n86702956,73%,DOT FHWA/DF,http://id.loc.gov/authorities/names/no91012248,53%,
"U.S. Department of Commerce, U.S. Census Bureau, Geography Division",2,,,,,,,,,,"U.S. Department of Commerce, Census Bureau, Geography Division (100%); U.S. Department of Commerce
Bureau of the Census
Geography Division (90%); U.S. Department of Commerce, Census Bureau (78%); Department of Commerce, Census Bureau, Geography Division (78%); U.S. Department of Commerce, Census Bureau, Esri (70%); U.S. Census Bureau, Geography Division (67%)"
