ID,Type,URL,Label
bsi_parcelmap_29_mo,url,https://geodata.library.columbia.edu/catalog/bsi-parcelmap-29-mo,
bsi_parcelmap_30_mt,download,https://www1.columbia.edu/sec/acis/eds/dgate/studies/C1301/data/bsi_parcelmap_30_mt.zip,
bsi_parcelmap_30_mt,url,https://geodata.library.columbia.edu/catalog/bsi-parcelmap-30-mt,
bsi_parcelmap_31_ne,download,https://www1.columbia.edu/sec/acis/eds/dgate/studies/C1301/data/bsi_parcelmap_31_ne.zip,
bsi_parcelmap_31_ne,url,https://geodata.library.columbia.edu/catalog/bsi-parcelmap-31-ne,
bsi_parcelmap_32_nv,download,https://www1.columbia.edu/sec/acis/eds/dgate/studies/C1301/data/bsi_parcelmap_32_nv.zip,
bsi_parcelmap_32_nv,url,https://geodata.library.columbia.edu/catalog/bsi-parcelmap-32-nv,
bsi_parcelmap_33_nh,download,https://www1.columbia.edu/sec/acis/eds/dgate/studies/C1301/data/bsi_parcelmap_33_nh.zip,
bsi_parcelmap_33_nh,url,https://geodata.library.columbia.edu/catalog/bsi-parcelmap-33-nh,
bsi_parcelmap_34_nj,download,https://www1.columbia.edu/sec/acis/eds/dgate/studies/C1301/data/bsi_parcelmap_34_nj.zip,
bsi_parcelmap_34_nj,url,https://geodata.library.columbia.edu/catalog/bsi-parcelmap-34-nj,
bsi_parcelmap_35_nm,download,https://www1.columbia.edu/sec/acis/eds/dgate/studies/C1301/data/bsi_parcelmap_35_nm.zip,
bsi_parcelmap_35_nm,url,https://geodata.library.columbia.edu/catalog/bsi-parcelmap-35-nm,
bsi_parcelmap_36_ny,download,https://www1.columbia.edu/sec/acis/eds/dgate/studies/C1301/data/bsi_parcelmap_36_ny.zip,
bsi_parcelmap_36_ny,url,https://geodata.library.columbia.edu/catalog/bsi-parcelmap-36-ny,
bsi_parcelmap_37_nc,download,https://www1.columbia.edu/sec/acis/eds/dgate/studies/C1301/data/bsi_parcelmap_37_nc.zip,
bsi_parcelmap_37_nc,url,https://geodata.library.columbia.edu/catalog/bsi-parcelmap-37-nc,
bsi_parcelmap_38_nd,download,https://www1.columbia.edu/sec/acis/eds/dgate/studies/C1301/data/bsi_parcelmap_38_nd.zip,
bsi_parcelmap_38_nd,url,https://geodata.library.columbia.edu/catalog/bsi-parcelmap-38-nd,
bsi_parcelmap_39_oh,download,https://www1.columbia.edu/sec/acis/eds/dgate/studies/C1301/data/bsi_parcelmap_39_oh.zip,
bsi_parcelmap_39_oh,url,https://geodata.library.columbia.edu/catalog/bsi-parcelmap-39-oh,
bsi_parcelmap_40_ok,download,https://www1.columbia.edu/sec/acis/eds/dgate/studies/C1301/data/bsi_parcelmap_40_ok.zip,
bsi_parcelmap_40_ok,url,https://geodata.library.columbia.edu/catalog/bsi-parcelmap-40-ok,
bsi_parcelmap_41_or,download,https://www1.columbia.edu/sec/acis/eds/dgate/studies/C1301/data/bsi_parcelmap_41_or.zip,
bsi_parcelmap_41_or,url,https://geodata.library.columbia.edu/catalog/bsi-parcelmap-41-or,
bsi_parcelmap_42_pa,download,https://www1.columbia.edu/sec/acis/eds/dgate/studies/C1301/data/bsi_parcelmap_42_pa.zip,
bsi_parcelmap_42_pa,url,https://geodata.library.columbia.edu/catalog/bsi-parcelmap-42-pa,
bsi_parcelmap_44_ri,download,https://www1.columbia.edu/sec/acis/eds/dgate/studies/C1301/data/bsi_parcelmap_44_ri.zip,
bsi_parcelmap_44_ri,url,https://geodata.library.columbia.edu/catalog/bsi-parcelmap-44-ri,
bsi_parcelmap_45_sc,download,https://www1.columbia.edu/sec/acis/eds/dgate/studies/C1301/data/bsi_parcelmap_45_sc.zip,
bsi_parcelmap_45_sc,url,https://geodata.library.columbia.edu/catalog/bsi-parcelmap-45-sc,
bsi_parcelmap_46_sd,download,https://www1.columbia.edu/sec/acis/eds/dgate/studies/C1301/data/bsi_parcelmap_46_sd.zip,
bsi_parcelmap_46_sd,url,https://geodata.library.columbia.edu/catalog/bsi-parcelmap-46-sd,
bsi_parcelmap_47_tn,download,https://www1.columbia.edu/sec/acis/eds/dgate/studies/C1301/data/bsi_parcelmap_47_tn.zip,
bsi_parcelmap_47_tn,url,https://geodata.library.columbia.edu/catalog/bsi-parcelmap-47-tn,
bsi_parcelmap_48_tx,download,https://www1.columbia.edu/sec/acis/eds/dgate/studies/C1301/data/bsi_parcelmap_48_tx.zip,
bsi_parcelmap_48_tx,url,https://geodata.library.columbia.edu/catalog/bsi-parcelmap-48-tx,
bsi_parcelmap_49_ut,download,https://www1.columbia.edu/sec/acis/eds/dgate/studies/C1301/data/bsi_parcelmap_49_ut.zip,
bsi_parcelmap_49_ut,url,https://geodata.library.columbia.edu/catalog/bsi-parcelmap-49-ut,
bsi_parcelmap_50_vt,download,https://www1.columbia.edu/sec/acis/eds/dgate/studies/C1301/data/bsi_parcelmap_50_vt.zip,
bsi_parcelmap_50_vt,url,https://geodata.library.columbia.edu/catalog/bsi-parcelmap-50-vt,
bsi_parcelmap_51_va,download,https://www1.columbia.edu/sec/acis/eds/dgate/studies/C1301/data/bsi_parcelmap_51_va.zip,
bsi_parcelmap_51_va,url,https://geodata.library.columbia.edu/catalog/bsi-parcelmap-51-va,
bsi_parcelmap_53_wa,download,https://www1.columbia.edu/sec/acis/eds/dgate/studies/C1301/data/bsi_parcelmap_53_wa.zip,
bsi_parcelmap_53_wa,url,https://geodata.library.columbia.edu/catalog/bsi-parcelmap-53-wa,
bsi_parcelmap_54_wv,download,https://www1.columbia.edu/sec/acis/eds/dgate/studies/C1301/data/bsi_parcelmap_54_wv.zip,
bsi_parcelmap_54_wv,url,https://geodata.library.columbia.edu/catalog/bsi-parcelmap-54-wv,
bsi_parcelmap_55_wi,download,https://www1.columbia.edu/sec/acis/eds/dgate/studies/C1301/data/bsi_parcelmap_55_wi.zip,
bsi_parcelmap_55_wi,url,https://geodata.library.columbia.edu/catalog/bsi-parcelmap-55-wi,
bsi_parcelmap_56_wy,download,https://www1.columbia.edu/sec/acis/eds/dgate/studies/C1301/data/bsi_parcelmap_56_wy.zip,
bsi_parcelmap_56_wy,url,https://geodata.library.columbia.edu/catalog/bsi-parcelmap-56-wy,
bsi_parcelmap_72_pr,download,https://www1.columbia.edu/sec/acis/eds/dgate/studies/C1301/data/bsi_parcelmap_72_pr.zip,
bsi_parcelmap_72_pr,url,https://geodata.library.columbia.edu/catalog/bsi-parcelmap-72-pr,
cdc_1953_china_prov,download,https://www1.columbia.edu/sec/acis/eds/dgate/studies/C1301/data/cdc_1953_china_prov.zip,
cdc_1953_china_prov,url,https://geodata.library.columbia.edu/catalog/cdc-1953-china-prov,
cdc_1953_chinag_53,download,https://www1.columbia.edu/sec/acis/eds/dgate/studies/C1301/data/cdc_1953_chinag_53.zip,
cdc_1953_chinag_53,url,https://geodata.library.columbia.edu/catalog/cdc-1953-chinag-53,
cdc_1953_tibet_chinag_53,download,https://www1.columbia.edu/sec/acis/eds/dgate/studies/C1301/data/cdc_1953_tibet_chinag_53.zip,
cdc_1953_tibet_chinag_53,url,https://geodata.library.columbia.edu/catalog/cdc-1953-tibet-chinag-53,
cdc_1953_tibet_prov53,download,https://www1.columbia.edu/sec/acis/eds/dgate/studies/C1301/data/cdc_1953_tibet_prov53.zip,
cdc_1953_tibet_prov53,url,https://geodata.library.columbia.edu/catalog/cdc-1953-tibet-prov53,
cdc_1964_china_prov,download,https://www1.columbia.edu/sec/acis/eds/dgate/studies/C1301/data/cdc_1964_china_prov.zip,
cdc_1964_china_prov,url,https://geodata.library.columbia.edu/catalog/cdc-1964-china-prov,
cdc_1964_chinag_64,download,https://www1.columbia.edu/sec/acis/eds/dgate/studies/C1301/data/cdc_1964_chinag_64.zip,
cdc_1964_chinag_64,url,https://geodata.library.columbia.edu/catalog/cdc-1964-chinag-64,
